,Indice,Date,Opening,Highest,Lowest,Fermer,Cloture ajusté,Volume,Before_After_Election,Day_of_Week,Month,Is_Holiday_Period
1073,CAC40,2012-11-05,"346 990,00","347 357,00","344 850,00","344 850,00","344 850,00","103 696 800,00",Before,Monday,November,yes
1074,CAC40,2012-11-02,"348 063,00","350 264,00","345 793,00","349 246,00","349 246,00","164 708 800,00",Before,Friday,November,yes
1075,CAC40,2012-11-01,"342 048,00","348 417,00","341 369,00","347 540,00","347 540,00","112 130 000,00",Before,Thursday,November,yes
1076,CAC40,2012-10-31,"345 934,00","348 478,00","342 927,00","342 927,00","342 927,00","118 320 800,00",Before,Wednesday,October,no
1077,CAC40,2012-10-30,"341 471,00","346 197,00","341 471,00","345 944,00","345 944,00","79 154 400,00",Before,Tuesday,October,no
1078,CAC40,2012-10-29,"341 938,00","342 134,00","339 489,00","340 889,00","340 889,00","101 421 800,00",Before,Monday,October,no
1079,CAC40,2012-10-26,"338 468,00","344 674,00","338 236,00","343 509,00","343 509,00","141 176 000,00",Before,Friday,October,no
1080,CAC40,2012-10-25,"342 783,00","345 730,00","340 893,00","341 153,00","341 153,00","132 274 000,00",Before,Thursday,October,no
1081,CAC40,2012-10-24,"342 183,00","343 376,00","338 871,00","342 649,00","342 649,00","123 443 600,00",Before,Wednesday,October,no
1082,CAC40,2012-10-23,"348 594,00","349 202,00","339 130,00","340 650,00","340 650,00","161 423 000,00",Before,Tuesday,October,no
1083,CAC40,2012-10-22,"349 838,00","351 905,00","347 582,00","348 325,00","348 325,00","134 746 600,00",Before,Monday,October,no
1084,CAC40,2012-10-19,"352 779,00","353 792,00","349 676,00","350 456,00","350 456,00","219 409 800,00",Before,Friday,October,no
1085,CAC40,2012-10-18,"352 776,00","354 258,00","350 840,00","353 518,00","353 518,00","184 827 000,00",Before,Thursday,October,no
1086,CAC40,2012-10-17,"350 382,00","353 079,00","349 435,00","352 750,00","352 750,00","229 314 400,00",Before,Wednesday,October,no
1087,CAC40,2012-10-16,"344 360,00","350 094,00","342 897,00","350 094,00","350 094,00","163 753 600,00",Before,Tuesday,October,no
1088,CAC40,2012-10-15,"338 776,00","343 952,00","338 776,00","342 028,00","342 028,00","125 729 400,00",Before,Monday,October,no
1089,CAC40,2012-10-12,"340 126,00","341 900,00","338 908,00","338 908,00","338 908,00","173 790 200,00",Before,Friday,October,no
1090,CAC40,2012-10-11,"335 285,00","342 398,00","335 144,00","341 372,00","341 372,00","141 013 400,00",Before,Thursday,October,no
1091,CAC40,2012-10-10,"337 092,00","338 738,00","336 587,00","336 587,00","336 587,00","140 022 200,00",Before,Wednesday,October,no
1092,CAC40,2012-10-09,"342 023,00","342 742,00","337 792,00","338 278,00","338 278,00","185 969 000,00",Before,Tuesday,October,no
1093,CAC40,2012-10-08,"342 932,00","342 986,00","340 497,00","340 653,00","340 653,00","123 548 600,00",Before,Monday,October,no
1094,CAC40,2012-10-05,"341 040,00","346 184,00","341 040,00","345 704,00","345 704,00","143 091 000,00",Before,Friday,October,no
1095,CAC40,2012-10-04,"342 211,00","343 244,00","338 748,00","340 120,00","340 120,00","111 079 600,00",Before,Thursday,October,no
1096,CAC40,2012-10-03,"339 679,00","342 074,00","338 795,00","340 602,00","340 602,00","118 791 200,00",Before,Wednesday,October,no
1097,CAC40,2012-10-02,"341 125,00","345 080,00","339 237,00","341 423,00","341 423,00","137 533 200,00",Before,Tuesday,October,no
1098,CAC40,2012-10-01,"334 807,00","343 893,00","334 807,00","343 498,00","343 498,00","161 579 200,00",Before,Monday,October,no
1099,CAC40,2012-09-28,"345 746,00","345 958,00","335 482,00","335 482,00","335 482,00","157 124 800,00",Before,Friday,September,no
1100,CAC40,2012-09-27,"343 741,00","344 746,00","342 131,00","343 932,00","343 932,00","114 155 800,00",Before,Thursday,September,no
1101,CAC40,2012-09-26,"347 174,00","347 271,00","341 484,00","341 484,00","341 484,00","163 388 200,00",Before,Wednesday,September,no
1102,CAC40,2012-09-25,"349 016,00","352 029,00","347 409,00","351 381,00","351 381,00","122 937 000,00",Before,Tuesday,September,no
1103,CAC40,2012-09-24,"350 134,00","351 407,00","348 354,00","349 722,00","349 722,00","106 334 400,00",Before,Monday,September,no
1104,CAC40,2012-09-21,"352 846,00","354 088,00","350 461,00","353 072,00","353 072,00","234 806 800,00",Before,Friday,September,no
1105,CAC40,2012-09-20,"350 101,00","352 094,00","348 636,00","350 992,00","350 992,00","137 676 200,00",Before,Thursday,September,no
1106,CAC40,2012-09-19,"352 867,00","354 032,00","350 373,00","353 182,00","353 182,00","155 636 400,00",Before,Wednesday,September,no
