,Unnamed: 0,Indice,Date,Opening,Highest,Lowest,Fermer,Cloture ajusté,Volume,Before_After_Election,Day_of_Week,Month,Is_Holiday_Period,Mandat
0,0,CAC40,2017-01-20,4834.3,4869.38,4818.88,4850.67,4850.67,1177568.0,After,Friday,January,no,Obama
1,1,CAC40,2017-01-19,4859.76,4867.58,4829.82,4841.14,4841.14,956389.0,After,Thursday,January,no,Obama
2,2,CAC40,2017-01-18,4874.31,4875.74,4827.11,4853.4,4853.4,889115.0,After,Wednesday,January,no,Obama
3,3,CAC40,2017-01-17,4865.19,4889.16,4841.68,4859.69,4859.69,877370.0,After,Tuesday,January,no,Obama
4,4,CAC40,2017-01-16,4883.43,4911.39,4879.8,4882.18,4882.18,719285.0,After,Monday,January,no,Obama
5,5,CAC40,2017-01-13,4889.45,4924.58,4883.06,4922.49,4922.49,1062859.0,After,Friday,January,no,Obama
6,6,CAC40,2017-01-12,4873.01,4889.21,4857.44,4863.97,4863.97,994172.0,After,Thursday,January,no,Obama
7,7,CAC40,2017-01-11,4890.04,4916.48,4856.5,4888.71,4888.71,996527.0,After,Wednesday,January,no,Obama
8,8,CAC40,2017-01-10,4894.45,4906.15,4868.5,4888.23,4888.23,928093.0,After,Tuesday,January,no,Obama
9,9,CAC40,2017-01-09,4915.35,4915.6,4867.83,4887.57,4887.57,727096.0,After,Monday,January,no,Obama
10,10,CAC40,2017-01-06,4885.19,4911.49,4874.42,4909.84,4909.84,737090.0,After,Friday,January,no,Obama
11,11,CAC40,2017-01-05,4881.72,4905.84,4874.79,4900.64,4900.64,880920.0,After,Thursday,January,no,Obama
12,12,CAC40,2017-01-04,4912.95,4913.94,4879.23,4899.4,4899.4,772768.0,After,Wednesday,January,no,Obama
13,13,CAC40,2017-01-03,4904.77,4929.6,4896.11,4899.33,4899.33,826095.0,After,Tuesday,January,no,Obama
14,14,CAC40,2017-01-02,4845.96,4896.01,4843.93,4882.38,4882.38,343104.0,After,Monday,January,no,Obama
15,15,CAC40,2016-12-30,4837.68,4864.29,4825.14,4862.31,4862.31,530550.0,After,Friday,December,yes,Obama
16,16,CAC40,2016-12-29,4824.75,4845.67,4822.29,4838.47,4838.47,451501.0,After,Thursday,December,yes,Obama
17,17,CAC40,2016-12-28,4846.14,4851.51,4840.14,4848.01,4848.01,493712.0,After,Wednesday,December,yes,Obama
18,18,CAC40,2016-12-27,4840.17,4852.55,4837.0,4848.28,4848.28,351257.0,After,Tuesday,December,yes,Obama
19,19,CAC40,2016-12-23,4837.41,4844.8,4825.93,4839.68,4839.68,483626.0,After,Friday,December,yes,Obama
20,20,CAC40,2016-12-22,4825.15,4841.65,4818.81,4834.63,4834.63,657162.0,After,Thursday,December,yes,Obama
21,21,CAC40,2016-12-21,4831.56,4851.52,4821.24,4833.82,4833.82,666266.0,After,Wednesday,December,yes,Obama
22,22,CAC40,2016-12-20,4822.3,4852.58,4815.23,4849.89,4849.89,877727.0,After,Tuesday,December,yes,Obama
