,Indice,Date,Opening,Highest,Lowest,Fermer,Cloture ajusté,Volume,Before_After_Election,Day_of_Week,Month,Is_Holiday_Period
0,CAC40,2017-01-20,"483 430,00","486 938,00","481 888,00","485 067,00","485 067,00","117 756 800,00",After,Friday,January,no
1,CAC40,2017-01-19,"485 976,00","486 758,00","482 982,00","484 114,00","484 114,00","95 638 900,00",After,Thursday,January,no
2,CAC40,2017-01-18,"487 431,00","487 574,00","482 711,00","485 340,00","485 340,00","88 911 500,00",After,Wednesday,January,no
3,CAC40,2017-01-17,"486 519,00","488 916,00","484 168,00","485 969,00","485 969,00","87 737 000,00",After,Tuesday,January,no
4,CAC40,2017-01-16,"488 343,00","491 139,00","487 980,00","488 218,00","488 218,00","71 928 500,00",After,Monday,January,no
5,CAC40,2017-01-13,"488 945,00","492 458,00","488 306,00","492 249,00","492 249,00","106 285 900,00",After,Friday,January,no
6,CAC40,2017-01-12,"487 301,00","488 921,00","485 744,00","486 397,00","486 397,00","99 417 200,00",After,Thursday,January,no
7,CAC40,2017-01-11,"489 004,00","491 648,00","485 650,00","488 871,00","488 871,00","99 652 700,00",After,Wednesday,January,no
8,CAC40,2017-01-10,"489 445,00","490 615,00","486 850,00","488 823,00","488 823,00","92 809 300,00",After,Tuesday,January,no
9,CAC40,2017-01-09,"491 535,00","491 560,00","486 783,00","488 757,00","488 757,00","72 709 600,00",After,Monday,January,no
10,CAC40,2017-01-06,"488 519,00","491 149,00","487 442,00","490 984,00","490 984,00","73 709 000,00",After,Friday,January,no
11,CAC40,2017-01-05,"488 172,00","490 584,00","487 479,00","490 064,00","490 064,00","88 092 000,00",After,Thursday,January,no
12,CAC40,2017-01-04,"491 295,00","491 394,00","487 923,00","489 940,00","489 940,00","77 276 800,00",After,Wednesday,January,no
13,CAC40,2017-01-03,"490 477,00","492 960,00","489 611,00","489 933,00","489 933,00","82 609 500,00",After,Tuesday,January,no
14,CAC40,2017-01-02,"484 596,00","489 601,00","484 393,00","488 238,00","488 238,00","34 310 400,00",After,Monday,January,no
15,CAC40,2016-12-30,"483 768,00","486 429,00","482 514,00","486 231,00","486 231,00","53 055 000,00",After,Friday,December,yes
16,CAC40,2016-12-29,"482 475,00","484 567,00","482 229,00","483 847,00","483 847,00","45 150 100,00",After,Thursday,December,yes
17,CAC40,2016-12-28,"484 614,00","485 151,00","484 014,00","484 801,00","484 801,00","49 371 200,00",After,Wednesday,December,yes
