,Indice,Date,Opening,Highest,Lowest,Fermer,Cloture ajusté,Volume,Before_After_Election,Day_of_Week,Month,Is_Holiday_Period
0,CAC40,2025-01-23,"785 140,00","787 296,00","782 940,00","787 239,00","787 239,00",,After,Thursday,January,no
1,CAC40,2025-01-22,"778 330,00","787 398,00","777 364,00","783 740,00","783 740,00","70 350 300,00",After,Wednesday,January,no
2,CAC40,2025-01-21,"772 434,00","777 476,00","771 326,00","777 095,00","777 095,00","62 824 400,00",After,Tuesday,January,no
3,CAC40,2025-01-20,"772 212,00","776 624,00","770 729,00","773 350,00","773 350,00","66 371 900,00",After,Monday,January,no
4,CAC40,2025-01-17,"768 504,00","773 232,00","766 785,00","770 975,00","770 975,00","93 238 600,00",After,Friday,January,no
5,CAC40,2025-01-16,"759 135,00","763 474,00","756 767,00","763 474,00","763 474,00","74 666 800,00",After,Thursday,January,no
6,CAC40,2025-01-15,"744 739,00","751 491,00","741 552,00","747 459,00","747 459,00","90 347 900,00",After,Wednesday,January,no
7,CAC40,2025-01-14,"748 195,00","749 977,00","742 349,00","742 367,00","742 367,00","75 439 900,00",After,Tuesday,January,no
8,CAC40,2025-01-13,"740 956,00","742 451,00","735 305,00","740 864,00","740 864,00","61 436 800,00",After,Monday,January,no
9,CAC40,2025-01-10,"749 521,00","752 122,00","741 759,00","743 104,00","743 104,00","65 416 600,00",After,Friday,January,no
10,CAC40,2025-01-09,"742 120,00","750 411,00","741 315,00","749 028,00","749 028,00","46 769 000,00",After,Thursday,January,no
11,CAC40,2025-01-08,"748 920,00","749 651,00","739 668,00","745 242,00","745 242,00","68 013 600,00",After,Wednesday,January,no
12,CAC40,2025-01-07,"745 134,00","751 695,00","741 742,00","748 935,00","748 935,00","68 128 400,00",After,Tuesday,January,no
13,CAC40,2025-01-06,"731 336,00","745 487,00","730 447,00","744 569,00","744 569,00","78 726 100,00",After,Monday,January,no
14,CAC40,2025-01-03,"738 797,00","738 797,00","727 057,00","728 222,00","728 222,00","61 578 200,00",After,Friday,January,no
15,CAC40,2025-01-02,"737 459,00","739 925,00","728 530,00","739 376,00","739 376,00","52 769 000,00",After,Thursday,January,no
16,CAC40,2024-12-31,"728 979,00","738 126,00","728 714,00","738 074,00","738 074,00","23 241 400,00",After,Tuesday,December,yes
17,CAC40,2024-12-30,"732 550,00","737 265,00","729 939,00","731 356,00","731 356,00","41 887 400,00",After,Monday,December,yes
18,CAC40,2024-12-27,"728 954,00","735 537,00","727 842,00","735 537,00","735 537,00","46 195 200,00",After,Friday,December,yes
19,CAC40,2024-12-24,"729 669,00","731 659,00","728 269,00","728 269,00","728 269,00","20 579 600,00",After,Tuesday,December,yes
20,CAC40,2024-12-23,"725 937,00","729 169,00","723 319,00","727 232,00","727 232,00","46 296 600,00",After,Monday,December,yes
21,CAC40,2024-12-20,"724 415,00","728 933,00","719 449,00","727 448,00","727 448,00","156 262 400,00",After,Friday,December,yes
22,CAC40,2024-12-19,"728 911,00","732 681,00","726 128,00","729 437,00","729 437,00","86 813 900,00",After,Thursday,December,yes
23,CAC40,2024-12-18,"737 933,00","739 735,00","736 006,00","738 462,00","738 462,00","81 504 900,00",After,Wednesday,December,yes
24,CAC40,2024-12-17,"732 194,00","738 114,00","731 648,00","736 570,00","736 570,00","94 104 400,00",After,Tuesday,December,yes
25,CAC40,2024-12-16,"738 224,00","739 434,00","733 931,00","735 708,00","735 708,00","135 807 000,00",After,Monday,December,yes
26,CAC40,2024-12-13,"740 816,00","746 061,00","738 860,00","740 957,00","740 957,00","82 858 600,00",After,Friday,December,yes
27,CAC40,2024-12-12,"745 471,00","745 520,00","741 073,00","742 094,00","742 094,00","61 838 000,00",After,Thursday,December,yes
28,CAC40,2024-12-11,"737 224,00","743 758,00","736 711,00","742 340,00","742 340,00","62 203 700,00",After,Wednesday,December,yes
29,CAC40,2024-12-10,"745 829,00","746 023,00","738 488,00","739 478,00","739 478,00","62 092 200,00",After,Tuesday,December,yes
30,CAC40,2024-12-09,"748 450,00","751 102,00","744 481,00","748 014,00","748 014,00","70 243 900,00",After,Monday,December,yes
31,CAC40,2024-12-06,"733 427,00","744 472,00","733 414,00","742 688,00","742 688,00","72 204 700,00",After,Friday,December,yes
32,CAC40,2024-12-05,"728 272,00","735 100,00","728 272,00","733 054,00","733 054,00","82 651 900,00",After,Thursday,December,yes
33,CAC40,2024-12-04,"726 172,00","732 286,00","725 743,00","730 328,00","730 328,00","73 097 300,00",After,Wednesday,December,yes
34,CAC40,2024-12-03,"724 474,00","731 987,00","722 892,00","725 542,00","725 542,00","73 182 500,00",After,Tuesday,December,yes
35,CAC40,2024-12-02,"714 737,00","727 597,00","714 602,00","723 689,00","723 689,00","98 817 900,00",After,Monday,December,yes
36,CAC40,2024-11-29,"715 130,00","724 107,00","714 774,00","723 511,00","723 511,00","66 530 400,00",After,Friday,November,yes
37,CAC40,2024-11-28,"717 091,00","720 707,00","716 172,00","717 925,00","717 925,00","56 381 700,00",After,Thursday,November,yes
38,CAC40,2024-11-27,"715 002,00","715 642,00","709 115,00","714 303,00","714 303,00","77 023 300,00",After,Wednesday,November,yes
39,CAC40,2024-11-26,"720 165,00","725 678,00","718 549,00","719 451,00","719 451,00","68 773 200,00",After,Tuesday,November,yes
40,CAC40,2024-11-25,"732 948,00","733 323,00","723 938,00","725 747,00","725 747,00","122 963 000,00",After,Monday,November,yes
41,CAC40,2024-11-22,"725 064,00","727 106,00","715 623,00","725 501,00","725 501,00","71 958 600,00",After,Friday,November,yes
42,CAC40,2024-11-21,"718 520,00","722 360,00","713 121,00","721 332,00","721 332,00","53 383 700,00",After,Thursday,November,yes
43,CAC40,2024-11-20,"727 273,00","728 039,00","718 842,00","719 845,00","719 845,00","55 750 600,00",After,Wednesday,November,yes
44,CAC40,2024-11-19,"728 746,00","730 119,00","713 483,00","722 964,00","722 964,00","64 615 700,00",After,Tuesday,November,yes
45,CAC40,2024-11-18,"727 440,00","728 978,00","723 459,00","727 823,00","727 823,00","50 146 900,00",After,Monday,November,yes
