,Indice,Date,Opening,Highest,Lowest,Fermer,Cloture ajusté,Volume,Before_After_Election,Day_of_Week,Month,Is_Holiday_Period
0,Taux10ans,2025-01-23,4.6380,4.6640,4.6170,4.6380,4.6380,-,After,Thursday,January,no
1,Taux10ans,2025-01-22,4.5600,4.6170,4.5600,4.5990,4.5990,-,After,Wednesday,January,no
2,Taux10ans,2025-01-21,4.5740,4.5850,4.5520,4.5740,4.5740,-,After,Tuesday,January,no
3,Taux10ans,2025-01-17,4.5720,4.6250,4.5680,4.6090,4.6090,-,After,Friday,January,no
4,Taux10ans,2025-01-16,4.6840,4.6940,4.5880,4.6060,4.6060,-,After,Thursday,January,no
5,Taux10ans,2025-01-15,4.7620,4.7740,4.6370,4.6530,4.6530,-,After,Wednesday,January,no
6,Taux10ans,2025-01-14,4.7880,4.8090,4.7550,4.7880,4.7880,-,After,Tuesday,January,no
7,Taux10ans,2025-01-13,4.7680,4.8050,4.7590,4.8030,4.8030,-,After,Monday,January,no
8,Taux10ans,2025-01-10,4.6940,4.7900,4.6940,4.7760,4.7760,-,After,Friday,January,no
9,Taux10ans,2025-01-08,4.7050,4.7160,4.6730,4.6930,4.6930,-,After,Wednesday,January,no
10,Taux10ans,2025-01-07,4.6340,4.6990,4.6260,4.6830,4.6830,-,After,Tuesday,January,no
11,Taux10ans,2025-01-06,4.5850,4.6440,4.5790,4.6180,4.6180,-,After,Monday,January,no
12,Taux10ans,2025-01-03,4.5450,4.6000,4.5390,4.5960,4.5960,-,After,Friday,January,no
13,Taux10ans,2025-01-02,4.5210,4.5990,4.5170,4.5750,4.5750,-,After,Thursday,January,no
14,Taux10ans,2024-12-31,4.5290,4.5870,4.5210,4.5730,4.5730,-,After,Tuesday,December,yes
15,Taux10ans,2024-12-30,4.5770,4.5770,4.5370,4.5450,4.5450,-,After,Monday,December,yes
16,Taux10ans,2024-12-27,4.6030,4.6230,4.5750,4.6190,4.6190,-,After,Friday,December,yes
17,Taux10ans,2024-12-26,4.6310,4.6410,4.5730,4.5790,4.5790,-,After,Thursday,December,yes
18,Taux10ans,2024-12-24,4.6090,4.6290,4.5830,4.5910,4.5910,-,After,Tuesday,December,yes
19,Taux10ans,2024-12-23,4.5500,4.5990,4.5340,4.5990,4.5990,-,After,Monday,December,yes
20,Taux10ans,2024-12-20,4.5420,4.5460,4.4840,4.5240,4.5240,-,After,Friday,December,yes
